[KGenerating Samples |##########################      | (214/256) Sample Time: 6.217s | Infer Batch: 40.9 | Total: 0:22:27 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 6.217s | Infer Batch: 40.9 | Total: 0:22:28 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 6.217s | Infer Batch: 40.9 | Total: 0:22:29 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 6.217s | Infer Batch: 40.9 | Total: 0:22:30 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 6.287s | Infer Batch: 40.9 | Total: 0:22:31 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 6.287s | Infer Batch: 40.9 | Total: 0:22:32 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 6.287s | Infer Batch: 40.9 | Total: 0:22:33 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 6.287s | Infer Batch: 40.9 | Total: 0:22:34 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 6.275s | Infer Batch: 40.9 | Total: 0:22:35 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:36 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:37 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:38 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:39 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:40 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:41 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:42 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:43 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:44 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 6.252s | Infer Batch: 40.9 | Total: 0:22:45 | ETA: 0:00:01
