[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:33 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:34 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:35 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:36 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:37 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:38 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:39 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:40 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:41 | ETA: 0:00:01
[KGenerating Samples |##############################  | (243/256) Sample Time: 10.052s | Infer Batch: 39.8 | Total: 0:40:42 | ETA: 0:00:01
[KGenerating Samples |##############################  | (243/256) Sample Time: 10.052s | Infer Batch: 39.8 | Total: 0:40:43 | ETA: 0:00:01
[KGenerating Samples |##############################  | (243/256) Sample Time: 10.052s | Infer Batch: 39.8 | Total: 0:40:44 | ETA: 0:00:01
[KGenerating Samples |##############################  | (243/256) Sample Time: 10.052s | Infer Batch: 39.8 | Total: 0:40:45 | ETA: 0:00:01
[KGenerating Samples |##############################  | (243/256) Sample Time: 10.052s | Infer Batch: 39.8 | Total: 0:40:46 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:47 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:48 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:49 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:50 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:51 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:52 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:53 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:54 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:55 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:56 | ETA: 0:00:01
