[KGenerating Samples |#######################         | (187/256) Sample Time: 6.045s | Infer Batch: 44.2 | Total: 0:18:54 | ETA: 0:00:02
[KGenerating Samples |#######################         | (187/256) Sample Time: 6.045s | Infer Batch: 44.2 | Total: 0:18:55 | ETA: 0:00:02
[KGenerating Samples |#######################         | (188/256) Sample Time: 6.046s | Infer Batch: 44.2 | Total: 0:18:56 | ETA: 0:00:02
[KGenerating Samples |#######################         | (188/256) Sample Time: 6.046s | Infer Batch: 44.2 | Total: 0:18:57 | ETA: 0:00:02
[KGenerating Samples |#######################         | (189/256) Sample Time: 6.022s | Infer Batch: 44.2 | Total: 0:18:58 | ETA: 0:00:02
[KGenerating Samples |#######################         | (189/256) Sample Time: 6.022s | Infer Batch: 44.1 | Total: 0:18:59 | ETA: 0:00:02
[KGenerating Samples |#######################         | (189/256) Sample Time: 6.022s | Infer Batch: 44.1 | Total: 0:19:00 | ETA: 0:00:02
[KGenerating Samples |#######################         | (189/256) Sample Time: 6.022s | Infer Batch: 44.1 | Total: 0:19:01 | ETA: 0:00:02
[KGenerating Samples |#######################         | (190/256) Sample Time: 6.011s | Infer Batch: 44.1 | Total: 0:19:02 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 5.989s | Infer Batch: 44.1 | Total: 0:19:03 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 5.989s | Infer Batch: 44.1 | Total: 0:19:04 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 5.967s | Infer Batch: 44.1 | Total: 0:19:05 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 5.967s | Infer Batch: 44.1 | Total: 0:19:06 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 5.967s | Infer Batch: 44.1 | Total: 0:19:07 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 5.967s | Infer Batch: 44.1 | Total: 0:19:08 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 5.967s | Infer Batch: 44.1 | Total: 0:19:09 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 5.958s | Infer Batch: 44.1 | Total: 0:19:10 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 5.958s | Infer Batch: 44.1 | Total: 0:19:11 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 5.938s | Infer Batch: 44.1 | Total: 0:19:12 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 5.938s | Infer Batch: 44.1 | Total: 0:19:13 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 5.938s | Infer Batch: 44.1 | Total: 0:19:14 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 5.938s | Infer Batch: 44.1 | Total: 0:19:15 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 5.938s | Infer Batch: 44.1 | Total: 0:19:16 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 5.933s | Infer Batch: 44.1 | Total: 0:19:17 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 5.933s | Infer Batch: 44.1 | Total: 0:19:19 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 5.933s | Infer Batch: 44.2 | Total: 0:19:20 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 5.933s | Infer Batch: 44.1 | Total: 0:19:21 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 5.933s | Infer Batch: 44.1 | Total: 0:19:22 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 5.933s | Infer Batch: 44.1 | Total: 0:19:23 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 5.937s | Infer Batch: 44.1 | Total: 0:19:24 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 5.937s | Infer Batch: 44.1 | Total: 0:19:25 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 5.937s | Infer Batch: 44.1 | Total: 0:19:26 | ETA: 0:00:01
