[KGenerating Samples |##########################      | (209/256) Sample Time: 4.606s | Infer Batch: 41.4 | Total: 0:16:06 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 4.606s | Infer Batch: 41.4 | Total: 0:16:07 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 4.606s | Infer Batch: 41.4 | Total: 0:16:08 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 4.606s | Infer Batch: 41.4 | Total: 0:16:09 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 4.606s | Infer Batch: 41.4 | Total: 0:16:10 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 4.606s | Infer Batch: 41.4 | Total: 0:16:11 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 4.606s | Infer Batch: 41.4 | Total: 0:16:12 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 4.606s | Infer Batch: 41.4 | Total: 0:16:13 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 4.606s | Infer Batch: 41.4 | Total: 0:16:14 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:15 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:16 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:17 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:18 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:19 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:20 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:21 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:22 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:23 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:24 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 4.640s | Infer Batch: 41.4 | Total: 0:16:25 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 4.650s | Infer Batch: 41.4 | Total: 0:16:26 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:27 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:28 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:29 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:30 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:31 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:32 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:33 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 4.623s | Infer Batch: 41.4 | Total: 0:16:34 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 4.623s | Infer Batch: 41.4 | Total: 0:16:35 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 4.623s | Infer Batch: 41.4 | Total: 0:16:36 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:37 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:38 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:39 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 4.614s | Infer Batch: 41.4 | Total: 0:16:40 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 4.612s | Infer Batch: 41.4 | Total: 0:16:41 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 4.598s | Infer Batch: 41.4 | Total: 0:16:42 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 4.598s | Infer Batch: 41.4 | Total: 0:16:43 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 4.598s | Infer Batch: 41.4 | Total: 0:16:44 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 4.598s | Infer Batch: 41.4 | Total: 0:16:45 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 4.598s | Infer Batch: 41.4 | Total: 0:16:46 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 4.598s | Infer Batch: 41.4 | Total: 0:16:47 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 4.602s | Infer Batch: 41.4 | Total: 0:16:48 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 4.602s | Infer Batch: 41.4 | Total: 0:16:49 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 4.602s | Infer Batch: 41.4 | Total: 0:16:50 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.4 | Total: 0:16:51 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.4 | Total: 0:16:52 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.4 | Total: 0:16:53 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.4 | Total: 0:16:54 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.4 | Total: 0:16:55 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.5 | Total: 0:16:56 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.4 | Total: 0:16:57 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.4 | Total: 0:16:58 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.5 | Total: 0:16:59 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.594s | Infer Batch: 41.5 | Total: 0:17:00 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 4.620s | Infer Batch: 41.5 | Total: 0:17:01 | ETA: 0:00:01
