[KGenerating Samples |########################        | (193/256) Sample Time: 4.727s | Infer Batch: 41.8 | Total: 0:15:17 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.727s | Infer Batch: 41.8 | Total: 0:15:18 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.727s | Infer Batch: 41.8 | Total: 0:15:19 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.727s | Infer Batch: 41.8 | Total: 0:15:20 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.727s | Infer Batch: 41.8 | Total: 0:15:21 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.727s | Infer Batch: 41.8 | Total: 0:15:22 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.727s | Infer Batch: 41.8 | Total: 0:15:23 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.727s | Infer Batch: 41.8 | Total: 0:15:24 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 4.727s | Infer Batch: 41.8 | Total: 0:15:25 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 4.773s | Infer Batch: 41.8 | Total: 0:15:26 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.753s | Infer Batch: 41.8 | Total: 0:15:27 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.753s | Infer Batch: 41.8 | Total: 0:15:28 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.753s | Infer Batch: 41.8 | Total: 0:15:29 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.753s | Infer Batch: 41.8 | Total: 0:15:30 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.753s | Infer Batch: 41.8 | Total: 0:15:31 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.753s | Infer Batch: 41.8 | Total: 0:15:32 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.753s | Infer Batch: 41.8 | Total: 0:15:33 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.753s | Infer Batch: 41.8 | Total: 0:15:34 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 4.753s | Infer Batch: 41.8 | Total: 0:15:35 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 4.777s | Infer Batch: 41.8 | Total: 0:15:36 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 4.777s | Infer Batch: 41.8 | Total: 0:15:37 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 4.777s | Infer Batch: 41.8 | Total: 0:15:38 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 4.777s | Infer Batch: 41.8 | Total: 0:15:39 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 4.777s | Infer Batch: 41.8 | Total: 0:15:40 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 4.777s | Infer Batch: 41.8 | Total: 0:15:41 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 4.777s | Infer Batch: 41.8 | Total: 0:15:42 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 4.777s | Infer Batch: 41.8 | Total: 0:15:43 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 4.793s | Infer Batch: 41.8 | Total: 0:15:44 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.776s | Infer Batch: 41.8 | Total: 0:15:45 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.776s | Infer Batch: 41.8 | Total: 0:15:46 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 4.776s | Infer Batch: 41.8 | Total: 0:15:47 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 4.764s | Infer Batch: 41.8 | Total: 0:15:48 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 4.764s | Infer Batch: 41.8 | Total: 0:15:49 | ETA: 0:00:01
