[KGenerating Samples |##                              | (22/256) Sample Time: 14.941s | Infer Batch: 43.1 | Total: 0:05:29 | ETA: 0:00:04
[KGenerating Samples |###                             | (26/256) Sample Time: 12.698s | Infer Batch: 43.1 | Total: 0:05:30 | ETA: 0:00:03
[KGenerating Samples |###                             | (26/256) Sample Time: 12.698s | Infer Batch: 43.1 | Total: 0:05:31 | ETA: 0:00:03
[KGenerating Samples |###                             | (29/256) Sample Time: 11.437s | Infer Batch: 43.1 | Total: 0:05:32 | ETA: 0:00:03
[KGenerating Samples |###                             | (31/256) Sample Time: 10.748s | Infer Batch: 43.1 | Total: 0:05:33 | ETA: 0:00:03
[KGenerating Samples |####                            | (34/256) Sample Time: 9.822s | Infer Batch: 43.1 | Total: 0:05:34 | ETA: 0:00:03
[KGenerating Samples |####                            | (34/256) Sample Time: 9.822s | Infer Batch: 43.2 | Total: 0:05:35 | ETA: 0:00:03
[KGenerating Samples |####                            | (36/256) Sample Time: 9.321s | Infer Batch: 43.2 | Total: 0:05:36 | ETA: 0:00:03
[KGenerating Samples |####                            | (36/256) Sample Time: 9.321s | Infer Batch: 43.2 | Total: 0:05:37 | ETA: 0:00:03
[KGenerating Samples |####                            | (36/256) Sample Time: 9.321s | Infer Batch: 43.2 | Total: 0:05:38 | ETA: 0:00:03
[KGenerating Samples |####                            | (39/256) Sample Time: 8.701s | Infer Batch: 43.2 | Total: 0:05:39 | ETA: 0:00:03
[KGenerating Samples |#####                           | (40/256) Sample Time: 8.486s | Infer Batch: 43.2 | Total: 0:05:40 | ETA: 0:00:03
[KGenerating Samples |#####                           | (43/256) Sample Time: 7.934s | Infer Batch: 43.2 | Total: 0:05:41 | ETA: 0:00:03
[KGenerating Samples |#####                           | (43/256) Sample Time: 7.934s | Infer Batch: 43.2 | Total: 0:05:42 | ETA: 0:00:03
[KGenerating Samples |#####                           | (43/256) Sample Time: 7.934s | Infer Batch: 43.2 | Total: 0:05:43 | ETA: 0:00:03
[KGenerating Samples |#####                           | (44/256) Sample Time: 7.818s | Infer Batch: 43.2 | Total: 0:05:44 | ETA: 0:00:03
[KGenerating Samples |#####                           | (47/256) Sample Time: 7.341s | Infer Batch: 43.2 | Total: 0:05:45 | ETA: 0:00:03
[KGenerating Samples |######                          | (48/256) Sample Time: 7.204s | Infer Batch: 43.2 | Total: 0:05:46 | ETA: 0:00:03
[KGenerating Samples |######                          | (51/256) Sample Time: 6.803s | Infer Batch: 43.2 | Total: 0:05:47 | ETA: 0:00:03
[KGenerating Samples |######                          | (52/256) Sample Time: 6.689s | Infer Batch: 43.2 | Total: 0:05:48 | ETA: 0:00:03
[KGenerating Samples |#######                         | (57/256) Sample Time: 6.124s | Infer Batch: 43.2 | Total: 0:05:49 | ETA: 0:00:03
[KGenerating Samples |#######                         | (58/256) Sample Time: 6.036s | Infer Batch: 43.2 | Total: 0:05:50 | ETA: 0:00:03
[KGenerating Samples |#######                         | (60/256) Sample Time: 5.849s | Infer Batch: 43.2 | Total: 0:05:51 | ETA: 0:00:03
[KGenerating Samples |#######                         | (63/256) Sample Time: 5.589s | Infer Batch: 43.2 | Total: 0:05:52 | ETA: 0:00:03
[KGenerating Samples |########                        | (66/256) Sample Time: 5.351s | Infer Batch: 43.2 | Total: 0:05:53 | ETA: 0:00:03
[KGenerating Samples |########                        | (67/256) Sample Time: 5.284s | Infer Batch: 43.2 | Total: 0:05:54 | ETA: 0:00:03
[KGenerating Samples |########                        | (70/256) Sample Time: 5.075s | Infer Batch: 43.2 | Total: 0:05:55 | ETA: 0:00:03
[KGenerating Samples |#########                       | (73/256) Sample Time: 4.882s | Infer Batch: 43.2 | Total: 0:05:56 | ETA: 0:00:03
[KGenerating Samples |#########                       | (73/256) Sample Time: 4.882s | Infer Batch: 43.2 | Total: 0:05:57 | ETA: 0:00:03
[KGenerating Samples |#########                       | (79/256) Sample Time: 4.538s | Infer Batch: 43.2 | Total: 0:05:58 | ETA: 0:00:03
[KGenerating Samples |##########                      | (80/256) Sample Time: 4.485s | Infer Batch: 43.2 | Total: 0:05:59 | ETA: 0:00:03
[KGenerating Samples |##########                      | (82/256) Sample Time: 4.396s | Infer Batch: 43.2 | Total: 0:06:00 | ETA: 0:00:03
[KGenerating Samples |###########                     | (89/256) Sample Time: 4.060s | Infer Batch: 43.2 | Total: 0:06:01 | ETA: 0:00:03
[KGenerating Samples |###########                     | (93/256) Sample Time: 3.893s | Infer Batch: 43.2 | Total: 0:06:02 | ETA: 0:00:03
[KGenerating Samples |###########                     | (93/256) Sample Time: 3.893s | Infer Batch: 43.2 | Total: 0:06:03 | ETA: 0:00:03
[KGenerating Samples |###########                     | (95/256) Sample Time: 3.835s | Infer Batch: 43.2 | Total: 0:06:04 | ETA: 0:00:03
[KGenerating Samples |############                    | (96/256) Sample Time: 3.807s | Infer Batch: 43.2 | Total: 0:06:05 | ETA: 0:00:03
[KGenerating Samples |############                    | (96/256) Sample Time: 3.807s | Infer Batch: 43.3 | Total: 0:06:06 | ETA: 0:00:03
[KGenerating Samples |############                    | (96/256) Sample Time: 3.807s | Infer Batch: 43.3 | Total: 0:06:07 | ETA: 0:00:03
[KGenerating Samples |############                    | (98/256) Sample Time: 3.759s | Infer Batch: 43.3 | Total: 0:06:08 | ETA: 0:00:03
[KGenerating Samples |############                    | (98/256) Sample Time: 3.759s | Infer Batch: 43.3 | Total: 0:06:09 | ETA: 0:00:03
[KGenerating Samples |############                    | (98/256) Sample Time: 3.759s | Infer Batch: 43.3 | Total: 0:06:10 | ETA: 0:00:03
[KGenerating Samples |############                    | (99/256) Sample Time: 3.747s | Infer Batch: 43.3 | Total: 0:06:11 | ETA: 0:00:03
[KGenerating Samples |#############                   | (106/256) Sample Time: 3.515s | Infer Batch: 43.3 | Total: 0:06:12 | ETA: 0:00:03
[KGenerating Samples |#############                   | (108/256) Sample Time: 3.459s | Infer Batch: 43.3 | Total: 0:06:13 | ETA: 0:00:02
[KGenerating Samples |#############                   | (108/256) Sample Time: 3.459s | Infer Batch: 43.3 | Total: 0:06:14 | ETA: 0:00:02
[KGenerating Samples |#############                   | (111/256) Sample Time: 3.378s | Infer Batch: 43.3 | Total: 0:06:15 | ETA: 0:00:02
[KGenerating Samples |##############                  | (114/256) Sample Time: 3.302s | Infer Batch: 43.3 | Total: 0:06:16 | ETA: 0:00:02
[KGenerating Samples |##############                  | (114/256) Sample Time: 3.302s | Infer Batch: 43.3 | Total: 0:06:17 | ETA: 0:00:02
[KGenerating Samples |##############                  | (115/256) Sample Time: 3.286s | Infer Batch: 43.3 | Total: 0:06:18 | ETA: 0:00:02
[KGenerating Samples |##############                  | (115/256) Sample Time: 3.286s | Infer Batch: 43.3 | Total: 0:06:19 | ETA: 0:00:02
[KGenerating Samples |##############                  | (116/256) Sample Time: 3.273s | Infer Batch: 43.3 | Total: 0:06:20 | ETA: 0:00:02
[KGenerating Samples |###############                 | (120/256) Sample Time: 3.179s | Infer Batch: 43.3 | Total: 0:06:21 | ETA: 0:00:02
[KGenerating Samples |###############                 | (121/256) Sample Time: 3.159s | Infer Batch: 43.3 | Total: 0:06:22 | ETA: 0:00:02
[KGenerating Samples |###############                 | (126/256) Sample Time: 3.043s | Infer Batch: 43.3 | Total: 0:06:23 | ETA: 0:00:02
[KGenerating Samples |################                | (128/256) Sample Time: 3.005s | Infer Batch: 43.3 | Total: 0:06:24 | ETA: 0:00:02
[KGenerating Samples |################                | (130/256) Sample Time: 2.964s | Infer Batch: 43.3 | Total: 0:06:25 | ETA: 0:00:02
[KGenerating Samples |################                | (133/256) Sample Time: 2.905s | Infer Batch: 43.3 | Total: 0:06:26 | ETA: 0:00:02
[KGenerating Samples |#################               | (137/256) Sample Time: 2.829s | Infer Batch: 43.3 | Total: 0:06:27 | ETA: 0:00:02
[KGenerating Samples |#################               | (139/256) Sample Time: 2.791s | Infer Batch: 43.3 | Total: 0:06:28 | ETA: 0:00:02
[KGenerating Samples |#################               | (140/256) Sample Time: 2.778s | Infer Batch: 43.3 | Total: 0:06:29 | ETA: 0:00:02
[KGenerating Samples |#################               | (142/256) Sample Time: 2.750s | Infer Batch: 43.4 | Total: 0:06:30 | ETA: 0:00:02
[KGenerating Samples |#################               | (143/256) Sample Time: 2.738s | Infer Batch: 43.3 | Total: 0:06:31 | ETA: 0:00:02
[KGenerating Samples |##################              | (144/256) Sample Time: 2.725s | Infer Batch: 43.4 | Total: 0:06:32 | ETA: 0:00:02
[KGenerating Samples |##################              | (145/256) Sample Time: 2.713s | Infer Batch: 43.4 | Total: 0:06:33 | ETA: 0:00:02
[KGenerating Samples |##################              | (147/256) Sample Time: 2.680s | Infer Batch: 43.4 | Total: 0:06:34 | ETA: 0:00:02
[KGenerating Samples |##################              | (147/256) Sample Time: 2.680s | Infer Batch: 43.4 | Total: 0:06:35 | ETA: 0:00:02
