[KGenerating Samples |####################            | (163/256) Sample Time: 3.717s | Infer Batch: 42.1 | Total: 0:10:06 | ETA: 0:00:02
[KGenerating Samples |####################            | (163/256) Sample Time: 3.717s | Infer Batch: 42.0 | Total: 0:10:07 | ETA: 0:00:02
[KGenerating Samples |####################            | (163/256) Sample Time: 3.717s | Infer Batch: 42.0 | Total: 0:10:08 | ETA: 0:00:02
[KGenerating Samples |####################            | (164/256) Sample Time: 3.713s | Infer Batch: 42.0 | Total: 0:10:09 | ETA: 0:00:02
[KGenerating Samples |####################            | (166/256) Sample Time: 3.671s | Infer Batch: 42.1 | Total: 0:10:10 | ETA: 0:00:02
[KGenerating Samples |####################            | (166/256) Sample Time: 3.671s | Infer Batch: 42.1 | Total: 0:10:11 | ETA: 0:00:02
[KGenerating Samples |####################            | (166/256) Sample Time: 3.671s | Infer Batch: 42.1 | Total: 0:10:12 | ETA: 0:00:02
[KGenerating Samples |####################            | (167/256) Sample Time: 3.672s | Infer Batch: 42.1 | Total: 0:10:13 | ETA: 0:00:02
[KGenerating Samples |####################            | (167/256) Sample Time: 3.672s | Infer Batch: 42.1 | Total: 0:10:14 | ETA: 0:00:02
[KGenerating Samples |####################            | (167/256) Sample Time: 3.672s | Infer Batch: 42.1 | Total: 0:10:15 | ETA: 0:00:02
[KGenerating Samples |####################            | (167/256) Sample Time: 3.672s | Infer Batch: 42.1 | Total: 0:10:16 | ETA: 0:00:02
[KGenerating Samples |#####################           | (168/256) Sample Time: 3.674s | Infer Batch: 42.1 | Total: 0:10:17 | ETA: 0:00:02
[KGenerating Samples |#####################           | (170/256) Sample Time: 3.635s | Infer Batch: 42.1 | Total: 0:10:18 | ETA: 0:00:01
[KGenerating Samples |#####################           | (171/256) Sample Time: 3.622s | Infer Batch: 42.1 | Total: 0:10:19 | ETA: 0:00:01
[KGenerating Samples |#####################           | (173/256) Sample Time: 3.586s | Infer Batch: 42.1 | Total: 0:10:20 | ETA: 0:00:01
[KGenerating Samples |#####################           | (174/256) Sample Time: 3.569s | Infer Batch: 42.1 | Total: 0:10:21 | ETA: 0:00:01
[KGenerating Samples |#####################           | (174/256) Sample Time: 3.569s | Infer Batch: 42.1 | Total: 0:10:22 | ETA: 0:00:01
[KGenerating Samples |#####################           | (175/256) Sample Time: 3.562s | Infer Batch: 42.1 | Total: 0:10:23 | ETA: 0:00:01
[KGenerating Samples |#####################           | (175/256) Sample Time: 3.562s | Infer Batch: 42.1 | Total: 0:10:24 | ETA: 0:00:01
[KGenerating Samples |######################          | (176/256) Sample Time: 3.552s | Infer Batch: 42.1 | Total: 0:10:25 | ETA: 0:00:01
[KGenerating Samples |######################          | (176/256) Sample Time: 3.552s | Infer Batch: 42.1 | Total: 0:10:26 | ETA: 0:00:01
[KGenerating Samples |######################          | (177/256) Sample Time: 3.544s | Infer Batch: 42.1 | Total: 0:10:27 | ETA: 0:00:01
[KGenerating Samples |######################          | (178/256) Sample Time: 3.527s | Infer Batch: 42.1 | Total: 0:10:28 | ETA: 0:00:01
[KGenerating Samples |######################          | (178/256) Sample Time: 3.527s | Infer Batch: 42.1 | Total: 0:10:29 | ETA: 0:00:01
[KGenerating Samples |######################          | (178/256) Sample Time: 3.527s | Infer Batch: 42.1 | Total: 0:10:30 | ETA: 0:00:01
[KGenerating Samples |######################          | (178/256) Sample Time: 3.527s | Infer Batch: 42.1 | Total: 0:10:31 | ETA: 0:00:01
[KGenerating Samples |######################          | (179/256) Sample Time: 3.529s | Infer Batch: 42.1 | Total: 0:10:32 | ETA: 0:00:01
[KGenerating Samples |######################          | (180/256) Sample Time: 3.518s | Infer Batch: 42.1 | Total: 0:10:33 | ETA: 0:00:01
[KGenerating Samples |######################          | (180/256) Sample Time: 3.518s | Infer Batch: 42.1 | Total: 0:10:34 | ETA: 0:00:01
[KGenerating Samples |######################          | (180/256) Sample Time: 3.518s | Infer Batch: 42.1 | Total: 0:10:35 | ETA: 0:00:01
[KGenerating Samples |######################          | (181/256) Sample Time: 3.513s | Infer Batch: 42.1 | Total: 0:10:36 | ETA: 0:00:01
[KGenerating Samples |######################          | (182/256) Sample Time: 3.500s | Infer Batch: 42.1 | Total: 0:10:37 | ETA: 0:00:01
[KGenerating Samples |######################          | (182/256) Sample Time: 3.500s | Infer Batch: 42.1 | Total: 0:10:38 | ETA: 0:00:01
[KGenerating Samples |######################          | (182/256) Sample Time: 3.500s | Infer Batch: 42.1 | Total: 0:10:39 | ETA: 0:00:01
[KGenerating Samples |######################          | (183/256) Sample Time: 3.499s | Infer Batch: 42.1 | Total: 0:10:40 | ETA: 0:00:01
[KGenerating Samples |#######################         | (184/256) Sample Time: 3.484s | Infer Batch: 42.1 | Total: 0:10:41 | ETA: 0:00:01
[KGenerating Samples |#######################         | (184/256) Sample Time: 3.484s | Infer Batch: 42.1 | Total: 0:10:42 | ETA: 0:00:01
[KGenerating Samples |#######################         | (184/256) Sample Time: 3.484s | Infer Batch: 42.1 | Total: 0:10:43 | ETA: 0:00:01
[KGenerating Samples |#######################         | (184/256) Sample Time: 3.484s | Infer Batch: 42.1 | Total: 0:10:44 | ETA: 0:00:01
[KGenerating Samples |#######################         | (185/256) Sample Time: 3.489s | Infer Batch: 42.1 | Total: 0:10:45 | ETA: 0:00:01
[KGenerating Samples |#######################         | (187/256) Sample Time: 3.453s | Infer Batch: 42.1 | Total: 0:10:46 | ETA: 0:00:01
[KGenerating Samples |#######################         | (187/256) Sample Time: 3.453s | Infer Batch: 42.1 | Total: 0:10:47 | ETA: 0:00:01
[KGenerating Samples |#######################         | (187/256) Sample Time: 3.453s | Infer Batch: 42.1 | Total: 0:10:48 | ETA: 0:00:01
[KGenerating Samples |#######################         | (187/256) Sample Time: 3.453s | Infer Batch: 42.1 | Total: 0:10:49 | ETA: 0:00:01
[KGenerating Samples |#######################         | (188/256) Sample Time: 3.461s | Infer Batch: 42.1 | Total: 0:10:50 | ETA: 0:00:01
